Date,open,high,low,close,adjclose,volume,ingested_at_utc
05-10-2020,141.1166687,144.5466614,139.7766724,141.8933258,141.8933258,134168400,2026-07-29 05:52:48.140356+00:00
06-10-2020,141.2633362,142.9266663,135.3500061,137.9933319,137.9933319,147438900,2026-07-29 05:52:48.140356+00:00
07-10-2020,139.956665,143.3000031,137.9499969,141.7666626,141.7666626,129383100,2026-07-29 05:52:48.140356+00:00
08-10-2020,146.1466675,146.3333282,141.7666626,141.9733276,141.9733276,121263300,2026-07-29 05:52:48.140356+00:00
09-10-2020,143.3766632,144.863327,142.1533356,144.6666718,144.6666718,86777100,2026-07-29 05:52:48.140356+00:00
12-10-2020,147.3333282,149.5800018,146.1933289,147.4333344,147.4333344,116373300,2026-07-29 05:52:48.140356+00:00
13-10-2020,147.7833405,149.6300049,145.5333405,148.8833313,148.8833313,103391100,2026-07-29 05:52:48.140356+00:00
14-10-2020,149.9266663,155.3000031,149.1166687,153.7666626,153.7666626,143639100,2026-07-29 05:52:48.140356+00:00
15-10-2020,150.1033325,152.1900024,147.5,149.6266632,149.6266632,107017200,2026-07-29 05:52:48.140356+00:00
16-10-2020,151.4799957,151.9833374,146.2833405,146.5566711,146.5566711,98327700,2026-07-29 05:52:48.140356+00:00
19-10-2020,148.7466736,149.0,142.956665,143.6100006,143.6100006,108863400,2026-07-29 05:52:48.140356+00:00
20-10-2020,143.9166718,143.9166718,139.6833344,140.6466675,140.6466675,94968900,2026-07-29 05:52:48.140356+00:00
21-10-2020,140.8999939,144.3166656,140.4166718,140.8800049,140.8800049,97111500,2026-07-29 05:52:48.140356+00:00
22-10-2020,147.3066711,148.4100037,141.5033264,141.9299927,141.9299927,119979600,2026-07-29 05:52:48.140356+00:00
23-10-2020,140.613327,140.9633331,135.793335,140.2100067,140.2100067,101151000,2026-07-29 05:52:48.140356+00:00
26-10-2020,137.2100067,141.9199982,136.6666718,140.093338,140.093338,84717600,2026-07-29 05:52:48.140356+00:00
27-10-2020,141.2533264,143.5,140.0333405,141.5599976,141.5599976,68059500,2026-07-29 05:52:48.140356+00:00
28-10-2020,138.8266602,139.5333405,135.3333282,135.3399963,135.3399963,76354200,2026-07-29 05:52:48.140356+00:00
29-10-2020,136.6533356,139.3533325,135.4866638,136.9433289,136.9433289,67965900,2026-07-29 05:52:48.140356+00:00
30-10-2020,135.6333313,135.863327,126.3700027,129.3466644,129.3466644,127533900,2026-07-29 05:52:48.140356+00:00
02-11-2020,131.3333282,135.6600037,130.7666626,133.5033264,133.5033264,87063300,2026-07-29 05:52:48.140356+00:00
03-11-2020,136.5766602,142.5899963,135.5633392,141.3000031,141.3000031,103055100,2026-07-29 05:52:48.140356+00:00
04-11-2020,143.5399933,145.1333313,139.0333405,140.3266602,140.3266602,96429300,2026-07-29 05:52:48.140356+00:00
05-11-2020,142.7666626,146.6666718,141.3333282,146.0299988,146.0299988,85243500,2026-07-29 05:52:48.140356+00:00
06-11-2020,145.3666687,145.5233307,141.4266663,143.3166656,143.3166656,65118000,2026-07-29 05:52:48.140356+00:00
09-11-2020,146.5,150.8333282,140.3333282,140.4199982,140.4199982,104499000,2026-07-29 05:52:48.140356+00:00
10-11-2020,140.0299988,140.0299988,132.0099945,136.7866669,136.7866669,90852600,2026-07-29 05:52:48.140356+00:00
11-11-2020,138.8166656,139.5666656,136.8600006,139.043335,139.043335,52073100,2026-07-29 05:52:48.140356+00:00
12-11-2020,138.3500061,141.0,136.5066681,137.2533264,137.2533264,59565300,2026-07-29 05:52:48.140356+00:00
13-11-2020,136.9499969,137.5099945,133.886673,136.1666718,136.1666718,59313300,2026-07-29 05:52:48.140356+00:00
16-11-2020,136.3099976,137.4833374,134.6966705,136.0299988,136.0299988,80515800,2026-07-29 05:52:48.140356+00:00
17-11-2020,153.3899994,154.0,144.3366699,147.2033386,147.2033386,183564900,2026-07-29 05:52:48.140356+00:00
18-11-2020,149.4499969,165.3333282,147.8333282,162.2133331,162.2133331,234132000,2026-07-29 05:52:48.140356+00:00
19-11-2020,164.0,169.5366669,162.5233307,166.4233398,166.4233398,187425900,2026-07-29 05:52:48.140356+00:00
20-11-2020,165.9966736,167.5,163.0200043,163.2033386,163.2033386,98735700,2026-07-29 05:52:48.140356+00:00
23-11-2020,167.8333282,175.3333282,167.2633362,173.9499969,173.9499969,150780900,2026-07-29 05:52:48.140356+00:00
24-11-2020,180.1333313,186.6633301,175.3999939,185.1266632,185.1266632,160945500,2026-07-29 05:52:48.140356+00:00
25-11-2020,183.3533325,191.3333282,181.7899933,191.3333282,191.3333282,146790600,2026-07-29 05:52:48.140356+00:00
27-11-2020,193.7200012,199.593338,192.8166656,195.2533264,195.2533264,112683300,2026-07-29 05:52:48.140356+00:00
30-11-2020,200.7366638,202.6000061,184.8366699,189.1999969,189.1999969,189009300,2026-07-29 05:52:48.140356+00:00
01-12-2020,199.1966705,199.2833405,190.6833344,194.9199982,194.9199982,120310500,2026-07-29 05:52:48.140356+00:00
02-12-2020,185.4799957,190.5133362,180.4033356,189.6066742,189.6066742,143327100,2026-07-29 05:52:48.140356+00:00
03-12-2020,196.6733398,199.656662,194.1433258,197.793335,197.793335,127656000,2026-07-29 05:52:48.140356+00:00
04-12-2020,197.0033264,199.6799927,195.1666718,199.6799927,199.6799927,88203900,2026-07-29 05:52:48.140356+00:00
07-12-2020,201.6399994,216.2633362,201.0166626,213.9199982,213.9199982,168929100,2026-07-29 05:52:48.140356+00:00
08-12-2020,208.5033264,217.093338,206.1666718,216.6266632,216.6266632,192795000,2026-07-29 05:52:48.140356+00:00
09-12-2020,217.8966675,218.1066742,196.0,201.4933319,201.4933319,213873600,2026-07-29 05:52:48.140356+00:00
10-12-2020,191.456665,209.25,188.7799988,209.0233307,209.0233307,201249600,2026-07-29 05:52:48.140356+00:00
11-12-2020,205.0033264,208.0,198.9333344,203.3300018,203.3300018,139425000,2026-07-29 05:52:48.140356+00:00
14-12-2020,206.3333282,214.25,203.3999939,213.2766724,213.2766724,156121800,2026-07-29 05:52:48.140356+00:00
15-12-2020,214.4266663,215.6333313,207.9333344,211.0833282,211.0833282,135214500,2026-07-29 05:52:48.140356+00:00
16-12-2020,209.4100037,210.8333282,201.6666718,207.5899963,207.5899963,126287400,2026-07-29 05:52:48.140356+00:00
